"radio_id","escuela_id","tiempo_min"
"5","34",8.6
"5","35",10.4
"5","36",137
"5","37",223.1
"5","38",137.1
"5","39",137.1
"5","40",236.7
"5","41",224.4
"5","42",17.6
"5","43",16.2
"5","44",235
"5","45",19.2
"5","46",17.1
"5","47",226.1
"5","48",16.6
"5","49",16.6
"5","50",16.6
"5","51",2.7
"5","52",2.7
"5","53",230.3
"5","54",238.8
"5","55",238.8
"5","56",238.8
"5","57",238.8
"5","58",238.8
"5","59",238.8
"5","60",238.8
"5","61",238.8
"5","62",238.8
"5","63",238.8
"5","64",238.8
"5","65",238.8
"5","66",238.8
"5","67",17.5
"5","68",222.8
"5","69",128.1
"5","70",128.1
"5","71",231.9
"5","72",131
"5","73",135.4
"5","74",13.1
"6","1",122.7
"6","2",122.7
"6","3",123.8
"6","4",123.8
"6","5",123.8
"6","6",136.9
"6","7",136.9
"6","8",136.9
"6","9",136.9
"6","10",136.9
"6","11",136.9
"6","12",136.9
"6","13",136.9
"6","14",135.8
"6","15",135.8
"6","16",135.8
"6","17",24.4
"6","18",24.4
"6","19",24.4
"6","20",16.5
"6","21",16.5
"6","22",21
"6","23",4
"6","24",4
"6","25",4
"6","26",4
"6","27",19.6
"6","28",25.2
"6","29",10.4
"6","30",10.4
"6","31",232.9
"6","32",14.9
"6","33",14.9
"6","34",8.6
"6","35",10.4
"6","36",137
"6","37",223.1
"6","38",137.1
"6","39",137.1
"6","40",236.7
"6","41",224.4
"6","42",17.6
"6","43",16.2
"6","44",235
"6","45",19.2
"6","46",17.1
"6","47",226.1
"6","48",16.6
"6","49",16.6
"6","50",16.6
"6","51",2.7
"6","52",2.7
"6","53",230.3
"6","54",238.8
"6","55",238.8
"6","56",238.8
"6","57",238.8
"6","58",238.8
"6","59",238.8
"6","60",238.8
"6","61",238.8
"6","62",238.8
"6","63",238.8
"6","64",238.8
"6","65",238.8
"6","66",238.8
"6","67",17.5
"6","68",222.8
"6","69",128.1
"6","70",128.1
"6","71",231.9
"6","72",131
"6","73",135.4
"6","74",13.1
"7","1",123
"7","2",123
"7","3",124.1
"7","4",124.1
"7","5",124.1
"7","6",137.2
"7","7",137.2
"7","8",137.2
"7","9",137.2
"7","10",137.2
"7","11",137.2
"7","12",137.2
"7","13",137.2
"7","14",136.1
"7","15",136.1
"7","16",136.1
"7","17",17.8
"7","18",17.8
"7","19",17.8
"7","20",14.6
"7","21",14.6
"7","22",14.3
"7","23",10.6
"7","24",10.6
"7","25",10.6
"7","26",10.6
"7","27",13
"7","28",18.5
"7","29",5.9
"7","30",5.9
"7","31",229.5
"7","32",10.7
"7","33",10.7
"7","34",15.2
"7","35",3.8
"7","36",137.3
"7","37",219.8
"7","38",137.4
"7","39",137.4
"7","40",233.4
"7","41",221.1
"7","42",12.2
"7","43",10.9
"7","44",231.7
"7","45",15.4
"7","46",13.1
"7","47",222.8
"7","48",11.2
"7","49",11.2
"7","50",11.2
"7","51",3.9
"7","52",3.9
"7","53",227
"7","54",235.5
"7","55",235.5
"7","56",235.5
"7","57",235.5
"7","58",235.5
"7","59",235.5
"7","60",235.5
"7","61",235.5
"7","62",235.5
"7","63",235.5
"7","64",235.5
"7","65",235.5
"7","66",235.5
"7","67",12.1
"7","68",219.5
"7","69",128.4
"7","70",128.4
"7","71",228.5
"7","72",131.3
"7","73",135.8
"7","74",6.4
"8","1",130
"8","2",130
"8","3",131
"8","4",131
"8","5",131
"8","6",144.1
"8","7",144.1
"8","8",144.1
"8","9",144.1
"8","10",144.1
"8","11",144.1
"8","12",144.1
"8","13",144.1
"8","14",143
"8","15",143
"8","16",143
"8","17",14.7
"8","18",14.7
"8","19",14.7
"8","20",9.9
"8","21",9.9
"8","22",11.3
"8","23",17.5
"8","24",17.5
"8","25",17.5
"8","26",17.5
"8","27",9.9
"8","28",15.5
"8","29",6.7
"8","30",6.7
"8","31",233.9
"8","32",6
"8","33",6
"8","34",14.3
"8","35",3.1
"8","36",144.2
"8","37",224.2
"8","38",144.4
"8","39",144.4
"8","40",237.8
"8","41",225.5
"8","42",7.5
"8","43",6.2
"8","44",236.1
"8","45",10.7
"8","46",11.7
"8","47",227.2
"8","48",6.5
"8","49",6.5
"8","50",6.5
"8","51",10.8
"8","52",10.8
"8","53",231.4
"8","54",239.9
"8","55",239.9
"8","56",239.9
"8","57",239.9
"8","58",239.9
"8","59",239.9
"8","60",239.9
